,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13,Sun_Zenith_Angle
122951,0.34028,0.33351,0.38456,0.44346,0.6239,0.69751,0.69994,0.75149,0.32622,0.0008,0.29395,0.28057,61.84
196230,0.74505,0.7096,0.74105,0.76674,0.81094,0.83298,0.8435,0.85671,0.79302,0.4012,0.18946,0.22104,47.02
198334,0.86291,0.81869,0.85712,0.8677,0.88056,0.88968,0.8738,0.89552,0.64436,0.13562,0.64173,0.52003,51.33
38509,0.43536,0.33278,0.36244,0.37604,0.4174,0.44209,0.41641,0.46491,0.11515,0.00124,0.4049,0.30968,82.98
198989,0.82274,0.78074,0.80778,0.81811,0.82847,0.83022,0.81913,0.82726,0.72079,0.1296,0.06794,0.08624,41.66
138155,0.53381,0.48326,0.51975,0.55199,0.60123,0.61766,0.61532,0.63309,0.52792,0.25571,0.13282,0.15885,75.65
166327,0.73646,0.69462,0.72964,0.73586,0.74702,0.75293,0.73471,0.75768,0.46776,0.03394,0.09408,0.11173,48.47
85625,0.20502,0.23179,0.23226,0.30445,0.41845,0.46933,0.43405,0.51481,0.04372,0.00029,0.51009,0.32984,40.24
13317,0.24741,0.24588,0.2615,0.32828,0.50109,0.55625,0.56048,0.61083,0.27649,0.01273,0.64556,0.42756,52.33
77694,0.26029,0.41979,0.44098,0.65227,0.78052,0.81182,0.83025,0.84688,0.77456,0.29893,0.80585,0.63273,32.07
29050,0.54908,0.54056,0.55448,0.56114,0.64959,0.68888,0.62995,0.70887,0.10627,0.0004,0.63734,0.49236,36.68
57060,0.98486,0.91514,0.95901,0.95492,0.97517,0.98882,0.94835,0.9993,0.39627,0.0008,0.49908,0.61008,51.9
41461,0.30577,0.27431,0.27284,0.3278,0.47322,0.52652,0.52617,0.55858,0.2792,0.01142,0.36173,0.24656,73.35
159846,0.67444,0.62157,0.6553,0.67249,0.68665,0.69402,0.68601,0.69807,0.55815,0.16573,0.52519,0.44381,67.45
115390,0.67193,0.63684,0.66164,0.67676,0.69235,0.70005,0.69879,0.70916,0.62162,0.21574,0.10532,0.13036,46.62
133900,0.5686,0.52289,0.54348,0.54939,0.55622,0.55907,0.54792,0.56062,0.38414,0.02311,0.09237,0.11157,63.46
16736,0.49388,0.46386,0.5011,0.5296,0.62076,0.67172,0.64038,0.70946,0.32186,0.03036,0.44788,0.29269,68.35
88499,0.34331,0.28025,0.33715,0.35736,0.39147,0.42082,0.40741,0.45774,0.09109,0.00147,0.4642,0.3728,82.46
39049,0.88601,0.84918,0.86967,0.87226,0.93133,0.98352,0.91276,1.04065,0.49166,0.04174,0.56118,0.35096,37.09
125251,0.52548,0.61769,0.74268,0.75226,0.87349,0.95659,0.7998,1.00579,0.12839,0.01568,0.49571,0.46933,47.46
192453,0.75628,0.72313,0.75284,0.76693,0.79012,0.80345,0.79186,0.81109,0.60735,0.1573,0.53136,0.3443,33.13
180966,0.6962,0.6624,0.69228,0.70886,0.74973,0.76947,0.75815,0.77983,0.52482,0.06617,0.06752,0.08352,37.97
85656,0.3482,0.42059,0.48671,0.63129,0.87039,0.95054,0.85375,0.98473,0.09445,0.0007,0.91422,0.64648,72.44
105331,0.58888,0.51288,0.57523,0.62093,0.69126,0.71554,0.67909,0.73102,0.57622,0.25875,0.15979,0.18119,80.63
70436,0.29808,0.34836,0.40767,0.45656,0.68393,0.81698,0.7445,0.92758,0.04116,0.00037,0.75933,0.49006,60.12
91555,0.24655,0.27905,0.22649,0.4292,0.88098,0.95345,0.90829,0.97964,0.28351,0.00112,0.65351,0.40366,78.73
30591,0.75388,0.69433,0.73328,0.74244,0.75575,0.76568,0.74848,0.77404,0.49821,0.05047,0.62995,0.52327,64.61
26337,0.26339,0.35164,0.39624,0.53726,0.75125,0.83465,0.7957,0.89326,0.16298,0.00035,0.49403,0.31218,49.94
61843,0.31055,0.36632,0.54214,0.58694,0.6831,0.73911,0.69728,0.76979,0.17581,0.00039,0.88287,0.71897,41.83
49666,0.48126,0.4468,0.47455,0.4838,0.49793,0.50864,0.50034,0.52084,0.28086,0.01088,0.42779,0.29476,58.5
38326,0.23325,0.25084,0.26794,0.31103,0.41246,0.43932,0.43166,0.45712,0.21605,0.01029,0.39376,0.28586,33.82
109121,0.23165,0.21435,0.22901,0.24932,0.29506,0.31446,0.32445,0.33824,0.26468,0.04883,0.26126,0.24534,67.03
104277,0.28991,0.25018,0.27049,0.28206,0.3522,0.3939,0.35897,0.43337,0.03197,0.00073,0.26767,0.20859,78.8
99450,0.18399,0.14795,0.14213,0.17835,0.26317,0.2989,0.29723,0.3431,0.06899,0.00105,0.45619,0.32044,78.78
53700,0.96044,0.89318,0.93647,0.89418,0.93173,0.96954,0.88898,0.99326,0.15446,0.00046,0.9343,0.85041,57.68
104800,0.32455,0.24192,0.26437,0.23458,0.2598,0.28621,0.23545,0.29953,0.01225,0.00127,0.07323,0.06555,83.69
19953,0.31716,0.32656,0.30515,0.36971,0.62538,0.72799,0.65925,0.79517,0.06787,0.00039,0.51596,0.30574,55.66
140588,0.75759,0.72282,0.75597,0.77048,0.812,0.8216,0.79889,0.82763,0.43746,0.00176,0.04097,0.05209,34.34
88899,0.18147,0.23909,0.18342,0.30795,0.6851,0.82618,0.73016,0.88957,0.04086,0.0004,0.54743,0.31367,65.35
176412,0.73554,0.69066,0.73009,0.75406,0.77093,0.77896,0.78338,0.79011,0.74413,0.35291,0.15017,0.18049,62.72
191758,0.55332,0.56944,0.57592,0.67679,0.94459,1.01907,1.01068,1.05358,0.51359,0.01081,0.22896,0.21602,50.22
43118,0.44628,0.42958,0.45693,0.47444,0.57333,0.61755,0.58656,0.64855,0.16075,0.00037,0.43974,0.26572,62.52
129421,0.70852,0.63013,0.67891,0.70408,0.71194,0.71231,0.71072,0.71121,0.66817,0.20823,0.10778,0.1298,75.89
94050,0.26382,0.35242,0.38081,0.60072,0.96456,0.98143,0.96329,0.99231,0.58029,0.00726,0.68955,0.48317,68.12
159898,0.70365,0.64669,0.68698,0.70939,0.72252,0.72936,0.72745,0.73611,0.64908,0.29691,0.5375,0.48367,67.69
82387,0.26855,0.34753,0.38262,0.51935,0.82624,0.90373,0.89033,0.9178,0.5368,0.00699,0.6494,0.4722,47.29
110773,0.77085,0.71416,0.75119,0.76977,0.77746,0.77732,0.77405,0.77431,0.74158,0.242,0.12455,0.14427,64.94
140189,0.70361,0.66499,0.69277,0.70788,0.71431,0.71544,0.71534,0.71518,0.69954,0.25434,0.09967,0.12328,49.81
185849,0.90129,0.85053,0.88149,0.88872,0.88984,0.88625,0.87691,0.87779,0.82846,0.20536,0.07323,0.09262,45.74
109081,0.82864,0.79172,0.82534,0.85061,0.90794,0.92824,0.86772,0.93329,0.71959,0.15517,0.07148,0.09047,48.2
35176,0.46033,0.45947,0.47861,0.55228,0.81521,0.89083,0.88913,0.91633,0.59858,0.0382,0.62526,0.38617,47.65
163432,0.46442,0.43008,0.44278,0.40378,0.43807,0.47438,0.4151,0.49807,0.03093,0.00032,0.35217,0.24972,55.55
46328,0.33143,0.26801,0.28979,0.3063,0.33208,0.34759,0.33718,0.36303,0.18529,0.01192,0.29033,0.19311,82.18
43436,0.45567,0.43478,0.46713,0.49577,0.53902,0.556,0.5575,0.57427,0.38655,0.01808,0.46984,0.33641,54.42
155347,0.77629,0.73852,0.76333,0.77748,0.79201,0.79572,0.78998,0.79571,0.75198,0.29633,0.11547,0.13994,40.48
2494,0.41528,0.44222,0.48459,0.52423,0.70474,0.79415,0.76463,0.83924,0.21024,0.00039,0.72195,0.49095,36.07
38440,1.02546,0.96359,1.01031,1.01803,1.03262,1.04085,1.01669,1.04834,0.59855,0.01387,0.15251,0.20043,40.35
18079,0.57729,0.5594,0.57907,0.56387,0.76168,0.89593,0.78398,0.95922,0.09158,0.00029,0.57909,0.33984,32.33
184574,0.77098,0.74746,0.80562,0.84941,0.94989,0.97365,0.94499,0.96943,0.73905,0.17906,0.07588,0.09535,48.64
140562,0.15783,0.14114,0.14675,0.16549,0.25316,0.279,0.28214,0.29532,0.18817,0.00914,0.27469,0.21826,48.7
116724,0.6228,0.5765,0.60778,0.62317,0.66554,0.68704,0.66351,0.70025,0.46307,0.04151,0.07363,0.09212,67.81
25979,0.59176,0.58456,0.60842,0.66414,0.77144,0.79579,0.79034,0.80893,0.58711,0.13464,0.61264,0.51345,40.43
13138,0.5522,0.5117,0.52385,0.48007,0.6329,0.77914,0.65893,0.85034,0.02884,0.00033,0.49978,0.32474,63.15
113815,0.7883,0.72599,0.76579,0.7802,0.78387,0.78218,0.77487,0.77833,0.6715,0.12928,0.11814,0.14014,67.34
93973,0.2693,0.37188,0.39428,0.57868,0.87546,0.93968,0.93526,0.98156,0.523,0.0036,0.71904,0.4906,37.18
138796,0.49686,0.47584,0.48852,0.48959,0.6251,0.70087,0.65302,0.76255,0.08524,0.00036,0.06098,0.07202,41.85
159839,0.52007,0.40936,0.4557,0.47909,0.49449,0.50041,0.48691,0.50499,0.27596,0.00336,0.08971,0.10357,83.25
145489,0.73307,0.68569,0.7239,0.74209,0.75033,0.7525,0.75107,0.75355,0.68366,0.16872,0.11851,0.13963,60.68
161428,0.62792,0.59903,0.62218,0.61073,0.70967,0.78719,0.72126,0.83756,0.1527,0.00032,0.05438,0.06672,36.02
137629,0.70346,0.67754,0.70576,0.71704,0.74849,0.76926,0.73848,0.79042,0.51599,0.0473,0.05916,0.07553,38.76
85184,0.30592,0.43645,0.44664,0.70439,0.99728,0.99895,0.99982,1.00107,0.95651,0.60877,0.94166,0.64836,34.87
83190,0.241,0.31909,0.28611,0.43901,0.71912,0.80769,0.71811,0.85004,0.05167,0.00055,0.41567,0.2291,67.32
28316,0.28855,0.30374,0.33002,0.32866,0.41136,0.45683,0.39915,0.47485,0.05299,0.00049,0.46013,0.32603,59.48
36416,0.64722,0.63724,0.66581,0.69516,0.78214,0.83271,0.7721,0.86694,0.47394,0.05604,0.63104,0.52447,44.05
105356,0.32122,0.35179,0.37837,0.43616,0.77826,0.93133,0.83954,0.98671,0.1439,0.00134,0.33364,0.21768,38.64
149273,0.58079,0.52597,0.61393,0.66639,0.73622,0.75671,0.71668,0.77094,0.52454,0.15637,0.11031,0.13202,78.17
71503,0.2885,0.29961,0.31922,0.35728,0.56213,0.63223,0.61304,0.66197,0.21533,0.00055,0.64447,0.48604,53.77
17611,0.38698,0.40604,0.50874,0.56766,0.71166,0.76778,0.76415,0.80404,0.44531,0.05009,0.65467,0.47176,48.18
43761,0.2959,0.29152,0.34041,0.32341,0.36134,0.40147,0.35511,0.42219,0.12538,0.0164,0.49113,0.36781,67.31
119801,0.83064,0.79135,0.81865,0.8385,0.87817,0.90101,0.8921,0.90434,0.83651,0.3617,0.13804,0.1676,45.25
165088,0.5581,0.45954,0.5157,0.55079,0.5708,0.57676,0.57541,0.58495,0.44928,0.03824,0.08055,0.09475,81.56
100909,0.81509,0.76804,0.79971,0.81554,0.81955,0.81952,0.81896,0.81867,0.80913,0.34775,0.13564,0.16474,55.09
171623,0.88141,0.84063,0.86983,0.87669,0.89462,0.90863,0.88125,0.91608,0.71048,0.15386,0.07363,0.09313,31.85
170610,0.65404,0.58565,0.63499,0.6522,0.72612,0.7572,0.69793,0.77338,0.42637,0.02528,0.10733,0.12301,76.32
79307,0.2794,0.37963,0.4663,0.54221,0.87888,0.94709,0.81799,0.98684,0.04405,0.00039,0.91399,0.66212,61.96
160270,0.53193,0.49335,0.51519,0.50296,0.52431,0.54374,0.51005,0.55934,0.13429,0.00039,0.14411,0.16344,59.03
11842,0.30802,0.3147,0.36584,0.38647,0.50449,0.5615,0.52038,0.59846,0.08077,0.0003,0.67289,0.45557,49.28
164575,0.66839,0.62222,0.65978,0.68097,0.69494,0.70007,0.69799,0.7041,0.60687,0.14042,0.09307,0.11482,63.57
55665,0.25688,0.28926,0.33875,0.36725,0.47771,0.54054,0.49486,0.58729,0.04604,0.00043,0.66011,0.45682,63.9
49968,0.33463,0.25593,0.29512,0.30404,0.38913,0.43865,0.38926,0.47401,0.03021,0.00123,0.35189,0.20332,83.83
132872,0.54114,0.46646,0.51221,0.5429,0.58304,0.60243,0.59731,0.6179,0.50583,0.22226,0.15231,0.17436,79.96
180526,0.65547,0.65123,0.65361,0.66568,0.85587,0.94981,0.78153,1.00967,0.24668,0.00156,0.06852,0.08364,36.09
52249,0.2433,0.35318,0.49409,0.56651,0.64102,0.66474,0.66273,0.69067,0.42257,0.0095,0.7451,0.63159,57.0
110551,0.70311,0.6779,0.70975,0.71494,0.77751,0.82786,0.76762,0.86352,0.49062,0.05198,0.08697,0.10622,41.23
67692,0.25021,0.29893,0.27513,0.4266,0.81865,0.89113,0.90052,0.91908,0.7714,0.17992,0.81572,0.61226,60.99
25886,0.96472,0.92286,0.96017,0.974,0.98341,0.98881,0.98028,0.99316,0.77906,0.19168,0.783,0.6251,32.75
53190,0.33554,0.33186,0.40097,0.47729,0.6316,0.67649,0.66811,0.70374,0.33009,0.00159,0.68312,0.54959,78.95
168817,0.51627,0.50566,0.55236,0.60616,0.70842,0.75386,0.78257,0.82394,0.60391,0.07601,0.13355,0.17805,50.68
87120,0.92058,0.84933,0.92159,0.91854,0.94924,0.97163,0.92339,0.99044,0.31101,0.00054,0.12722,0.1799,68.62
4211,0.60428,0.58105,0.61717,0.62317,0.65099,0.66711,0.64704,0.68346,0.28881,0.0008,0.6685,0.55488,32.87
159464,0.62718,0.54965,0.60032,0.62583,0.64074,0.64502,0.63918,0.64762,0.52305,0.06626,0.06853,0.08394,76.99
188000,0.68244,0.64451,0.6666,0.67534,0.68003,0.68153,0.67601,0.68283,0.61016,0.2385,0.08968,0.11232,37.16
89218,0.18177,0.20041,0.25576,0.3188,0.46517,0.52696,0.55541,0.5811,0.46626,0.06747,0.64314,0.49242,61.99
196371,0.81392,0.7796,0.82148,0.83861,0.88003,0.89424,0.88146,0.9051,0.57811,0.03157,0.486,0.45518,33.18
173695,0.78278,0.74478,0.79687,0.8202,0.85194,0.87849,0.87494,0.91284,0.66595,0.11168,0.05755,0.0736,38.87
107738,0.52726,0.48076,0.49977,0.44497,0.5113,0.56443,0.47918,0.59248,0.01874,0.00038,0.05714,0.05964,69.67
54705,0.41521,0.51289,0.53609,0.67606,0.875,0.91939,0.93045,0.95977,0.71924,0.06783,0.97212,0.95998,50.35
49778,0.26581,0.25078,0.28593,0.30959,0.37161,0.39355,0.39422,0.40695,0.26858,0.02419,0.3902,0.30137,63.92
57691,0.33245,0.33007,0.3875,0.4965,0.71629,0.79311,0.7526,0.85656,0.13362,0.00135,0.69969,0.48787,80.69
26998,0.7454,0.70082,0.74216,0.76254,0.83424,0.89841,0.84706,0.91931,0.52427,0.04066,0.67099,0.55243,58.01
110490,0.60106,0.57085,0.61836,0.61555,0.65616,0.69182,0.65232,0.7272,0.27031,0.00208,0.08425,0.10346,62.11
10553,0.88145,0.83963,0.88053,0.85351,0.89195,0.93501,0.86519,0.98274,0.29655,0.00073,0.74813,0.57963,44.78
53407,0.27395,0.35637,0.48281,0.57044,0.74959,0.80235,0.79606,0.82216,0.51224,0.01238,0.80291,0.64442,60.15
96785,0.3141,0.37054,0.49548,0.56218,0.77845,0.84485,0.82473,0.87372,0.37086,0.00083,0.83603,0.66031,35.56
124322,0.50429,0.50488,0.60319,0.61102,0.70244,0.78857,0.73211,0.88441,0.21844,0.02985,0.36112,0.35806,61.04
