,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13,Sun_Zenith_Angle,clear,thin,thick
107922,0.71589,0.6499,0.69403,0.73038,0.76049,0.7661,0.74923,0.76669,0.71696,0.34515,0.15844,0.18578,76.0,0.0,0.0,1.0
61181,0.23562,0.28987,0.1766,0.32932,0.80375,0.90908,0.73909,0.96847,0.01102,0.00043,0.70092,0.27561,74.05,1.0,0.0,0.0
149631,0.74102,0.73722,0.72029,0.79864,0.95051,0.98301,0.89398,0.99828,0.58023,0.05715,0.0583,0.07463,33.79,0.0,0.0,1.0
191022,0.88525,0.83932,0.86689,0.88177,0.9801,0.9754,0.93597,0.95996,0.69485,0.10783,0.07615,0.09573,32.66,0.0,0.0,1.0
65505,0.3714,0.475,0.32281,0.62312,0.93607,0.97165,0.89307,0.99431,0.16287,0.00056,0.78288,0.37775,58.5,1.0,0.0,0.0
125048,0.70571,0.6452,0.68427,0.70833,0.75122,0.77807,0.75428,0.78332,0.65962,0.15045,0.07377,0.09221,71.19,0.0,0.0,1.0
113329,0.47692,0.47924,0.44563,0.52864,0.88787,0.9552,0.81826,1.00002,0.38554,0.14137,0.16057,0.17468,47.59,0.0,0.0,1.0
133861,0.76227,0.74009,0.75488,0.82449,0.84855,0.87803,0.80749,0.89199,0.50942,0.02494,0.06936,0.08719,59.34,0.0,0.0,1.0
85791,0.2299,0.23487,0.16165,0.27426,0.84156,0.91866,0.78717,0.97025,0.03178,0.00071,0.45895,0.16112,77.65,1.0,0.0,0.0
94834,0.17827,0.28356,0.16467,0.43834,0.98541,0.99259,0.97066,0.9992,0.57924,0.00672,0.54696,0.23487,50.73,1.0,0.0,0.0
47826,0.79081,0.76824,0.78303,0.83112,0.89694,0.94396,0.86566,0.98242,0.60046,0.10102,0.63879,0.51493,47.22,0.0,0.0,1.0
90143,0.39288,0.61668,0.35189,0.83905,0.95139,0.97312,0.92264,0.99177,0.2994,0.00053,0.93275,0.61244,67.46,1.0,0.0,0.0
120319,0.42089,0.52577,0.47802,0.80533,0.85069,0.88559,0.80636,0.90935,0.20873,0.00168,0.25225,0.19449,67.19,0.0,0.0,1.0
71613,0.25194,0.38861,0.24786,0.60923,0.86888,0.94222,0.80636,0.98463,0.03495,0.00031,0.7112,0.26196,60.5,1.0,0.0,0.0
48449,0.6542,0.53239,0.55935,0.50277,0.54496,0.59004,0.50561,0.61247,0.05632,0.00074,0.36852,0.1987,79.8,0.0,0.0,1.0
40165,0.43139,0.55682,0.3919,0.65615,0.97915,1.05157,0.89944,1.09732,0.18841,0.01552,0.90212,0.43465,33.53,0.0,0.0,1.0
179646,0.4521,0.52787,0.41581,0.71694,0.98224,0.98596,0.97945,0.99048,0.77997,0.11748,0.27616,0.21909,54.45,0.0,0.0,1.0
160598,0.65347,0.61618,0.70376,0.72395,0.78213,0.85499,0.80473,0.88205,0.43538,0.11515,0.15283,0.18423,69.49,0.0,0.0,1.0
4159,0.43326,0.42224,0.46792,0.47606,0.50547,0.54348,0.54988,0.63168,0.33218,0.07791,0.90556,0.68825,32.0,0.0,0.0,1.0
195226,0.58172,0.4827,0.53896,0.58176,0.68991,0.69262,0.68532,0.69343,0.58504,0.18444,0.14159,0.15945,82.24,0.0,0.0,1.0
171343,0.87771,0.83589,0.85761,0.86385,0.92379,0.95819,0.888,0.97931,0.79531,0.26649,0.1122,0.1344,32.31,0.0,0.0,1.0
189922,0.80296,0.75345,0.78615,0.79965,0.80356,0.80396,0.79965,0.80164,0.75483,0.3005,0.1365,0.15969,55.27,0.0,0.0,1.0
76288,0.2702,0.4637,0.21201,0.68593,0.96804,0.98349,0.94259,0.99613,0.3781,0.00068,0.94145,0.46708,58.88,1.0,0.0,0.0
33102,0.473,0.42188,0.42489,0.44833,0.61821,0.66945,0.57988,0.70009,0.18819,0.00129,0.39377,0.25662,74.45,0.0,0.0,1.0
163129,0.56451,0.54081,0.53596,0.63722,0.89129,0.89571,0.86991,0.89749,0.51069,0.04022,0.25362,0.22824,58.9,0.0,0.0,1.0
127197,0.73659,0.70155,0.72241,0.75344,1.02273,1.01949,1.00556,1.01235,0.79924,0.09418,0.0681,0.08605,33.8,0.0,0.0,1.0
100388,0.63634,0.56536,0.65617,0.71031,0.73568,0.75476,0.71572,0.76385,0.56685,0.13287,0.09549,0.11534,77.24,0.0,0.0,1.0
94599,0.27409,0.34446,0.21022,0.42779,0.82551,0.918,0.76165,0.97281,0.01725,0.00055,0.88017,0.53985,74.34,1.0,0.0,0.0
