,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13,Sun_Zenith_Angle,clear,thin,thick
101229,0.59296,0.5673,0.56868,0.59871,0.73365,0.81609,0.76093,0.85921,0.53571,0.20435,0.12919,0.15353,52.42,0.0,0.0,1.0
91076,0.56575,0.61959,0.93093,0.92372,0.95444,0.97533,0.92542,0.99281,0.30467,0.00055,0.93869,0.88921,65.95,1.0,0.0,0.0
151167,0.65975,0.61595,0.64388,0.66912,0.82754,0.86703,0.79112,0.89072,0.47721,0.04518,0.09664,0.11864,66.2,0.0,0.0,1.0
108983,0.68729,0.69878,0.66196,0.72885,0.85755,0.93219,0.79894,0.9819,0.44849,0.02618,0.06643,0.08409,41.13,0.0,0.0,1.0
154520,1.01674,0.95532,0.99849,0.95191,0.98746,1.02451,0.93999,1.05065,0.56856,0.06785,0.6551,0.53445,43.47,0.0,0.0,1.0
176649,0.62357,0.58777,0.58346,0.54408,0.75227,0.83204,0.6862,0.87141,0.02718,0.00029,0.52615,0.40612,59.78,0.0,0.0,1.0
26958,0.51646,0.57419,0.50002,0.64648,0.97825,1.05538,0.90068,1.10499,0.3222,0.03392,0.76006,0.48214,31.86,0.0,0.0,1.0
43551,0.46397,0.39394,0.40116,0.44518,0.64943,0.65384,0.63973,0.65737,0.38653,0.00828,0.43887,0.33733,78.46,0.0,0.0,1.0
171411,0.98211,0.90771,0.93343,0.87702,0.89761,0.924,0.85026,0.93413,0.50179,0.01763,0.06005,0.07637,46.01,0.0,0.0,1.0
116673,0.59268,0.54328,0.56525,0.61115,0.75309,0.79068,0.72471,0.8136,0.507,0.10459,0.08331,0.10255,74.08,0.0,0.0,1.0
10476,0.38981,0.37338,0.35762,0.44023,0.82126,0.83392,0.79584,0.84409,0.35071,0.00851,0.50059,0.2866,65.39,0.0,0.0,1.0
131405,0.42324,0.45795,0.39411,0.54341,0.98126,0.98715,0.96919,0.99254,0.62256,0.01093,0.14554,0.15599,52.98,0.0,0.0,1.0
16691,0.62756,0.58404,0.5986,0.54504,0.75043,0.84901,0.71021,0.89148,0.02923,0.00029,0.60145,0.44243,60.32,0.0,0.0,1.0
143428,0.7738,0.71521,0.74862,0.76885,0.79581,0.81018,0.7752,0.81497,0.63689,0.11438,0.0943,0.11615,69.71,0.0,0.0,1.0
188735,0.79796,0.76963,0.77989,0.81703,0.99868,1.01491,0.94945,1.02343,0.74799,0.30827,0.12399,0.15153,31.33,0.0,0.0,1.0
2286,0.426,0.39948,0.38426,0.54624,0.5711,0.59134,0.54498,0.60271,0.15682,0.00095,0.32985,0.19319,80.8,0.0,0.0,1.0
78729,0.28069,0.40967,0.2371,0.60011,0.94989,0.97223,0.92184,0.99091,0.29052,0.0007,0.61923,0.30286,68.61,1.0,0.0,0.0
133895,0.57125,0.56232,0.74093,0.78556,0.8287,0.85051,0.81071,0.87106,0.32388,0.02864,0.69532,0.66729,78.82,1.0,0.0,0.0
144746,0.64766,0.62373,0.62779,0.66034,0.92155,0.98178,0.85835,1.01793,0.57117,0.1444,0.06006,0.07703,31.58,0.0,0.0,1.0
192346,0.61598,0.61614,0.5939,0.65784,0.91311,0.98345,0.84335,1.03069,0.52423,0.21486,0.08906,0.11131,31.57,0.0,0.0,1.0
109181,0.49698,0.49941,0.47063,0.58461,0.92729,0.94451,0.89075,0.95772,0.52833,0.20926,0.12586,0.14832,58.61,0.0,0.0,1.0
170141,0.65238,0.55771,0.61386,0.66085,0.69713,0.70478,0.68726,0.70839,0.63146,0.27513,0.12132,0.14332,81.03,0.0,0.0,1.0
64194,0.22617,0.31357,0.18119,0.42556,0.91059,0.95876,0.86268,0.98902,0.10535,0.00035,0.88521,0.47916,62.84,1.0,0.0,0.0
113111,0.70198,0.70805,0.74579,0.82738,0.94096,0.98533,0.87845,1.0142,0.52974,0.13864,0.08906,0.10947,39.81,0.0,0.0,1.0
38153,0.46141,0.48144,0.59481,0.63056,0.69549,0.78659,0.79896,0.95646,0.39055,0.06211,0.6899,0.44018,47.54,0.0,0.0,1.0
53008,0.36445,0.37234,0.44688,0.45124,0.48361,0.51216,0.47364,0.51753,0.0976,0.00034,0.52102,0.44393,45.09,1.0,0.0,0.0
